# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 8K of event 'cpu-clock:pppH'
# Event count (approx.): 2036500000
#
# Overhead       Samples  Command  Shared Object      Symbol                                       
# ........  ............  .......  .................  .............................................
#
    59.72%          4865  run      run                [.] matmul._omp_fn.0
    15.50%          1263  run       (deleted)         [.] 0x000000000001d212
    15.16%          1235  run       (deleted)         [.] 0x000000000001d3ca
     3.35%           273  run      run                [.] forward._omp_fn.0
     0.52%            42  run       (deleted)         [.] 0x000000000001d3d5
     0.43%            35  run      run                [.] sample_topp
     0.34%            28  run       (deleted)         [.] 0x000000000001d3ce
     0.31%            25  run       (deleted)         [.] 0x000000000001d216
     0.25%            20  run       (deleted)         [.] 0x000000000001d21d
     0.22%            18  run      [kernel.kallsyms]  [k] exit_to_user_mode_loop
     0.18%            15  run      [kernel.kallsyms]  [k] finish_task_switch.isra.0
     0.17%            14  run      run                [.] forward
     0.16%            13  run      [kernel.kallsyms]  [k] __softirqentry_text_start
     0.16%            13  run      run                [.] sample.part.0
     0.12%            10  run       (deleted)         [.] 0x000000000001d3d1
     0.11%             9  run       (deleted)         [.] 0x0000000000009684
     0.11%             9  run       (deleted)         [.] 0x000000000001d21f
     0.11%             9  run       (deleted)         [.] 0x000000000001d3d8
     0.09%             7  run       (deleted)         [.] 0x000000000000966e
     0.09%             7  run      [kernel.kallsyms]  [k] syscall_enter_from_user_mode
     0.07%             6  run       (deleted)         [.] 0x0000000000012b0c
     0.07%             6  run       (deleted)         [.] 0x000000000001d4a6
     0.07%             6  run       (deleted)         [.] 0x000000000001d527
     0.07%             6  run      [kernel.kallsyms]  [k] __pv_queued_spin_lock_slowpath
     0.07%             6  run      [kernel.kallsyms]  [k] audit_filter_syscall
     0.07%             6  run      [kernel.kallsyms]  [k] zap_pte_range
     0.06%             5  run       (deleted)         [.] 0x0000000000009677
     0.06%             5  run       (deleted)         [.] 0x000000000001a84c
     0.06%             5  run      [kernel.kallsyms]  [k] do_user_addr_fault
     0.05%             4  run       (deleted)         [.] 0x000000000001d52f
     0.05%             4  run      [kernel.kallsyms]  [k] hash_futex
     0.05%             4  run      [kernel.kallsyms]  [k] next_uptodate_page
     0.05%             4  run      run                [.] 0x00000000000022d4
     0.04%             3  run       (deleted)         [.] 0x0000000000009665
     0.04%             3  run       (deleted)         [.] 0x000000000001d219
     0.04%             3  run       (deleted)         [.] 0x000000000001d2d4
     0.04%             3  run       (deleted)         [.] 0x000000000001d3c8
     0.04%             3  run       (deleted)         [.] 0x00000000000458fc
     0.04%             3  run       (deleted)         [.] 0x0000000000045a6a
     0.04%             3  run       (deleted)         [.] 0x0000000000183f2e
     0.04%             3  run      [kernel.kallsyms]  [k] _raw_spin_unlock_irqrestore
     0.04%             3  run      [kernel.kallsyms]  [k] queue_work_on
     0.04%             3  run      [kernel.kallsyms]  [k] syscall_exit_work
     0.02%             2  run       (deleted)         [.] 0x00000000000095fa
     0.02%             2  run       (deleted)         [.] 0x0000000000009628
     0.02%             2  run       (deleted)         [.] 0x000000000001290b
     0.02%             2  run       (deleted)         [.] 0x000000000001a92a
     0.02%             2  run       (deleted)         [.] 0x000000000001b159
     0.02%             2  run       (deleted)         [.] 0x000000000001b541
     0.02%             2  run       (deleted)         [.] 0x000000000001d3dc
